,Row,Sample Name,Transaction Id,Anon Student Id,Session Id,Time,Time Zone,Duration (sec),Student Response Type,Student Response Subtype,Tutor Response Type,Tutor Response Subtype,Level (Unit),Problem Name,Problem View,Problem Start Time,Step Name,Attempt At Step,Is Last Attempt,Outcome,Selection,Action,Input,Feedback Text,Feedback Classification,Help Level,Total Num Hints,KC (Geometry),KC Category (Geometry),KC (Textbook),KC Category (Textbook),KC (Single-KC),KC Category (Single-KC),KC (Unique-step),KC Category (Unique-step),KC (NewModel),KC Category (NewModel),KC (NNEWWW),KC Category (NNEWWW),KC (New),KC Category (New),KC (MyKC),KC Category (MyKC),KC (MJB-SQRECT-Merge),KC Category (MJB-SQRECT-Merge),KC (KRE_circle_area),KC Category (KRE_circle_area),KC (Textbook-test),KC Category (Textbook-test),KC (Khushboo),KC Category (Khushboo),KC (Zhulin_Textbook11_SquareRectMerge),KC Category (Zhulin_Textbook11_SquareRectMerge),KC (new KC model name),KC Category (new KC model name),School,Class,CF (Factor add-or-m),CF (Factor backward),CF (Factor base-formula-p),CF (Factor base-or-height),CF (Factor basic-shape),CF (Factor cir-quad),CF (Factor circle-formula),CF (Factor circle-given),CF (Factor circle-goal),CF (Factor embedd3-tri-reg_prob_fix),CF (Factor embeddedness),CF (Factor figure-part),CF (Factor figure-type),CF (Factor non-standard-orientation-or-shape),CF (Factor parallelogram),CF (Factor parallelogram-type),CF (Factor repeat),CF (Factor required),CF (Factor trapezoid-part),KC (Unique-step)_isoriginal,KC (new KC model name)_isoriginal
6058,6059,All Data,27306505958ee7d1e068b6659e2a1bf1,Stu_e1e22d49d6bb0a1fe71e19d8d60221ae,GEO-408d5ed7:10e14be5d31:-7d11,1/31/96 19:05,US/Eastern,8.716528793,ATTEMPT,,RESULT,,Area,TROGS,1,05:39.7,(SQUARE-AREA QUESTION1),1,1,CORRECT,(SQUARE-AREA QUESTION1),,,,,,,Geometry,,square-area,,Single-KC,,KC67,,square-rect-area,,square-area,,square-rect-area,,square-area,,sq_rect-area,,square-area,,rectangle-area,,area,,square-rect-area,,square-rect-area,,,,0,0,f,0,parallelogram,quad,0,0,0,0,alone,area,square,0,1,square,initial,required,0,Yes,Yes
6059,6060,All Data,a81d157059991fc728693eba9f70ba1a,Stu_e1e22d49d6bb0a1fe71e19d8d60221ae,GEO-408d5ed7:10e14be5d31:-7d11,1/31/96 19:05,US/Eastern,10.4943319,ATTEMPT,,RESULT,,Area,TROGS,1,05:39.7,(SQUARE-AREA QUESTION2),1,1,CORRECT,(SQUARE-AREA QUESTION2),,,,,,,Geometry,,square-area,,Single-KC,,KC45,,square-rect-area,,square-area,,square-rect-area,,square-area,,sq_rect-area,,square-area,,rectangle-area,,area,,square-rect-area,,square-rect-area,,,,0,0,f,0,parallelogram,quad,0,0,0,0,alone,area,square,0,1,square,initial,required,0,Yes,Yes
6060,6061,All Data,b2fe8421fc2e58f376a6101e01ffe788,Stu_e1e22d49d6bb0a1fe71e19d8d60221ae,GEO-408d5ed7:10e14be5d31:-7d11,1/31/96 19:05,US/Eastern,8.179380939,ATTEMPT,,RESULT,,Area,TROGS,1,05:39.7,(SQUARE-AREA QUESTION3),1,1,CORRECT,(SQUARE-AREA QUESTION3),,,,,,,Geometry,,square-area,,Single-KC,,KC43,,square-rect-area,,square-area,,square-rect-area,,square-area,,sq_rect-area,,square-area,,rectangle-area,,area,,square-rect-area,,square-rect-area,,,,0,0,f,0,parallelogram,quad,0,0,0,0,alone,area,square,0,1,square,initial,required,0,Yes,Yes
6061,6062,All Data,a2b8baa5e0e08d7c270c940d8842797f,Stu_e1e22d49d6bb0a1fe71e19d8d60221ae,GEO-408d5ed7:10e14be5d31:-7d11,1/31/96 19:06,US/Eastern,10.72872645,ATTEMPT,,RESULT,,Area,TROGS,1,05:39.7,(TROG-HEIGHT QUESTION1),1,1,CORRECT,(TROG-HEIGHT QUESTION1),,,,,,,Geometry,,equi-tri-height?,,Single-KC,,KC85,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,,,0,0,f,0,triangle,quad,0,0,0,0,alone,segment,segment,0,0,0,initial,required,0,Yes,Yes
6063,6064,All Data,eb02773ed6a215394d50af97f622c972,Stu_e1e22d49d6bb0a1fe71e19d8d60221ae,GEO-408d5ed7:10e14be5d31:-7d11,1/31/96 19:06,US/Eastern,8.523564446,ATTEMPT,,RESULT,,Area,TROGS,1,05:39.7,(TROG-HEIGHT QUESTION2),1,1,CORRECT,(TROG-HEIGHT QUESTION2),,,,,,,Geometry,,equi-tri-height?,,Single-KC,,KC100,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,,,0,0,f,0,triangle,quad,0,0,0,0,alone,segment,segment,0,0,0,initial,required,0,Yes,Yes
6064,6065,All Data,3b19f7c5f69d288ce73ffad29943338f,Stu_e1e22d49d6bb0a1fe71e19d8d60221ae,GEO-408d5ed7:10e14be5d31:-7d11,1/31/96 19:06,US/Eastern,8.769753682,ATTEMPT,,RESULT,,Area,TROGS,1,05:39.7,(TROG-HEIGHT QUESTION3),1,1,CORRECT,(TROG-HEIGHT QUESTION3),,,,,,,Geometry,,equi-tri-height?,,Single-KC,,KC19,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,equi-tri-height?,,,,0,0,f,0,triangle,quad,0,0,0,0,alone,segment,segment,0,0,0,initial,required,0,Yes,Yes
6065,6066,All Data,7c43e7a4506a8aee3387327a62e2536d,Stu_e1e22d49d6bb0a1fe71e19d8d60221ae,GEO-408d5ed7:10e14be5d31:-7d11,1/31/96 19:06,US/Eastern,10.24943799,ATTEMPT,,RESULT,,Area,TROGS,1,05:39.7,(TROG-AREA QUESTION1),1,1,CORRECT,(TROG-AREA QUESTION1),,,,,,,Geometry,,triangle-area,,Single-KC,,KC78,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,area,,triangle-area,,triangle-area,,,,0,0,f,0,triangle,quad,0,0,0,0,embedded,area,triangle,0,0,0,repeat,required,0,Yes,Yes
6066,6067,All Data,3d657e841b2c8dd1e339419b6481681f,Stu_e1e22d49d6bb0a1fe71e19d8d60221ae,GEO-408d5ed7:10e14be5d31:-7d11,1/31/96 19:06,US/Eastern,9.541633862,ATTEMPT,,RESULT,,Area,TROGS,1,05:39.7,(TROG-AREA QUESTION2),1,1,CORRECT,(TROG-AREA QUESTION2),,,,,,,Geometry,,triangle-area,,Single-KC,,KC5,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,area,,triangle-area,,triangle-area,,,,0,0,f,0,triangle,quad,0,0,0,0,embedded,area,triangle,0,0,0,repeat,required,0,Yes,Yes
6067,6068,All Data,4e0327fb836a0b80fb6a0b2e8193a46a,Stu_e1e22d49d6bb0a1fe71e19d8d60221ae,GEO-408d5ed7:10e14be5d31:-7d11,1/31/96 19:06,US/Eastern,10.80675651,ATTEMPT,,RESULT,,Area,TROGS,1,05:39.7,(TROG-AREA QUESTION3),1,0,INCORRECT,(TROG-AREA QUESTION3),,,,,,,Geometry,,triangle-area,,Single-KC,,KC46,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,area,,triangle-area,,triangle-area,,,,0,0,f,0,triangle,quad,0,0,0,0,embedded,area,triangle,0,0,0,initial,required,0,Yes,Yes
6067,6068,All Data,4e0327fb836a0b80fb6a0b2e8193a46a,Stu_e1e22d49d6bb0a1fe71e19d8d60221ae,GEO-408d5ed7:10e14be5d31:-7d11,1/31/96 19:07,US/Eastern,7.864308388,ATTEMPT,,RESULT,,Area,TROGS,1,05:39.7,(TROG-AREA QUESTION3),2,1,CORRECT,(TROG-AREA QUESTION3),,,,,,,Geometry,,triangle-area,,Single-KC,,KC46,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,triangle-area,,area,,triangle-area,,triangle-area,,,,0,0,f,0,triangle,quad,0,0,0,0,embedded,area,triangle,0,0,0,initial,required,0,Yes,Yes
